2000;1;0,094038;0,011002
2000;2;0,098027;0,013799
2000;3;0,092833;0,008575
2000;4;0,093640;0,009027
2000;5;0,089737;0,006836
2000;6;0,091881;0,008768
2000;7;0,092348;0,008933
2000;8;0,092637;0,010093
2000;9;0,091050;0,008431
2000;10;0,092926;0,009067
2000;11;0,096277;0,010848
2000;12;0,096722;0,010828
2000;13;0,098248;0,012311
2000;14;0,095511;0,010865
2000;15;0,094710;0,010052
2000;16;0,091830;0,008716
2000;17;0,091659;0,008456
2000;18;0,096502;0,010929


4000;1;0,375215;0,049068
4000;2;0,367107;0,038949
4000;3;0,356537;0,030372
4000;4;0,356736;0,028551
4000;5;0,349140;0,021136
4000;6;0,356086;0,027650
4000;7;0,356555;0,029420
4000;8;0,363693;0,035316
4000;9;0,357667;0,029611
4000;10;0,355857;0,027028
4000;11;0,369118;0,030344
4000;12;0,360544;0,032652
4000;13;0,358051;0,029828
4000;14;0,366542;0,033940
4000;15;0,360853;0,032606
4000;16;0,359956;0,031753
4000;17;0,359636;0,031934
4000;18;0,361506;0,032304


8000;1;1,495801;0,199513
8000;2;1,443121;0,149956
8000;3;1,427726;0,123039
8000;4;1,393077;0,094311
8000;5;1,383242;0,083829
8000;6;1,461995;0,120643
8000;7;1,431922;0,133780
8000;8;1,446412;0,147695
8000;9;1,432444;0,131958
8000;10;1,430727;0,131764
8000;11;1,438722;0,141272
8000;12;1,443381;0,145208
8000;13;1,434134;0,135288
8000;14;1,409341;0,110648
8000;15;1,417716;0,116129
8000;16;1,418645;0,119976
8000;17;1,408808;0,111010
8000;18;1,414065;0,115434


16000;1;5,959364;0,777783
16000;2;5,766365;0,591161
16000;3;5,644401;0,450805
16000;4;5,552169;0,370677
16000;5;5,499419;0,319118
16000;6;5,636545;0,456041
16000;7;5,711082;0,522909
16000;8;5,745474;0,568343
16000;9;5,719851;0,538641
16000;10;5,681239;0,503285
16000;11;5,720173;0,536238
16000;12;5,746104;0,564499
16000;13;5,701012;0,525813
16000;14;5,695779;0,517108
16000;15;5,730835;0,557247
16000;16;5,752358;0,574082
16000;17;5,721367;0,538341
16000;18;5,743253;0,560490


32000;1;23,884482;3,160547
32000;2;23,081297;2,364271
32000;3;22,491665;1,763514
32000;4;22,149081;1,433569
32000;5;21,932672;1,231709
32000;6;22,552271;1,840494
32000;7;22,792977;2,084046
32000;8;22,999167;2,282457
32000;9;22,739914;2,045034
32000;10;22,680404;1,985216
32000;11;22,872516;2,141113
32000;12;22,941779;2,241071
32000;13;22,760171;2,054419
32000;14;22,866998;2,133757
32000;15;22,902300;2,180652
32000;16;22,953007;2,260497
32000;17;22,824148;2,120804
32000;18;22,955716;2,245981


40000;1;37,238265;4,833836
40000;2;36,180077;3,802396
40000;3;35,156027;2,766099
40000;4;34,594502;2,228353
40000;5;34,346068;1,964330
40000;6;35,287712;2,853474
40000;7;35,636862;3,262226
40000;8;35,967685;3,583195
40000;9;36,128063;3,315784
40000;10;35,471085;3,103846
40000;11;35,694600;3,331124
40000;12;35,922970;3,531838
40000;13;35,617755;3,251220
40000;14;35,585690;3,224015
40000;15;35,755375;3,422964
40000;16;35,850645;3,489443
40000;17;35,743077;3,354725
40000;18;35,812802;3,486431









2000;1;0,094356;0,011195
4000;2;0,377271;0,039750
6000;3;0,805562;0,071253
8000;4;1,389578;0,092676
10000;5;2,222099;0,130808
12000;6;3,183892;0,264565
14000;7;4,375825;0,403132
16000;8;5,752910;0,565301
18000;9;7,239981;0,682313
20000;10;8,895639;0,798282
22000;11;10,816016;1,024676
24000;12;12,922415;1,260873
26000;13;15,055226;1,386227
28000;14;17,455688;1,597969
30000;15;20,181409;1,971466
32000;16;22,976233;2,269677
34000;17;25,771579;2,406322
36000;18;29,063364;2,816122


2100;1;0,103821;0,012322
4200;2;0,402178;0,043066
6300;3;0,875951;0,071435
8400;4;1,529486;0,099826
10500;5;2,376173;0,140268
12600;6;3,505947;0,292191
14700;7;4,822189;0,447004
16800;8;6,328504;0,620755
18900;9;7,962308;0,738807
21000;10;9,763920;0,849293
23100;11;11,908270;1,098360
25200;12;14,240623;1,390005
27300;13;16,606912;1,536711
29400;14;19,250703;1,761771
31500;15;22,195312;2,132714
33600;16;25,362782;2,519549
35700;17;28,386155;2,637858
37800;18;32,048260;3,173121










