2000;1;0,092041;0,010650
2828;2;0,186052;0,018024
3464;3;0,264337;0,019686
4000;4;0,347001;0,021591
4472;5;0,430478;0,024389
4898;6;0,525034;0,037447
5291;7;0,642752;0,047966
5656;8;0,711145;0,061266
6000;9;0,797025;0,065882
6324;10;0,878404;0,067454
6633;11;1,012237;0,078147
6928;12;1,056586;0,084299
7211;13;1,192932;0,088511
7483;14;1,279164;0,091039
7745;15;1,375076;0,101786
8000;16;1,405090;0,109885
8246;17;1,491503;0,114939
8485;18;1,649435;0,122982


2100;1;0,101243;0,011435
2969;2;0,214126;0,018701
3637;3;0,302921;0,021401
4200;4;0,382499;0,023575
4695;5;0,494662;0,026204
5143;6;0,600933;0,039135
5555;7;0,707468;0,052330
5939;8;0,817377;0,067646
6300;9;0,872442;0,067800
6640;10;0,965050;0,071297
6964;11;1,065675;0,083046
7274;12;1,169012;0,095691
7571;13;1,311660;0,096289
7857;14;1,407873;0,099173
8133;15;1,514143;0,111571
8400;16;1,555433;0,125055
8658;17;1,640513;0,124280
8909;18;1,821049;0,139051


2200;1;0,113988;0,015347
3111;2;0,230748;0,022592
3810;3;0,321600;0,026373
4400;4;0,424008;0,030349
4919;5;0,546538;0,031918
5388;6;0,641852;0,053221
5820;7;0,755538;0,068479
6222;8;0,867795;0,083217
6600;9;0,975742;0,093158
6956;10;1,077809;0,096645
7296;11;1,187967;0,110087
7621;12;1,361685;0,128624
7932;13;1,407554;0,131966
8231;14;1,575057;0,137974
8520;15;1,626110;0,156203
8800;16;1,742179;0,172109
9070;17;1,842550;0,175138
9333;18;2,037768;0,191394


2300;1;0,123250;0,015589
3252;2;0,239625;0,024999
3983;3;0,366591;0,029028
4600;4;0,459865;0,030654
5142;5;0,571269;0,034936
5633;6;0,732375;0,058137
6085;7;0,862324;0,075928
6505;8;0,992944;0,093915
6900;9;1,065158;0,100494
7273;10;1,228436;0,105409
7628;11;1,303680;0,125275
7967;12;1,487423;0,140789
8292;13;1,533277;0,141108
8605;14;1,770973;0,152816
8907;15;1,851970;0,169614
9200;16;1,896494;0,184174
9483;17;2,094353;0,185615
9757;18;2,225315;0,208112


2400;1;0,135754;0,018372
3394;2;0,260061;0,026633
4156;3;0,383094;0,031773
4800;4;0,501803;0,033352
5366;5;0,621860;0,037626
5878;6;0,761505;0,061499
6349;7;0,938069;0,081997
6788;8;1,036041;0,101394
7200;9;1,154617;0,104869
7589;10;1,333657;0,112130
7959;11;1,478090;0,133275
8313;12;1,618655;0,151276
8653;13;1,745953;0,155771
8979;14;1,872833;0,163516
9294;15;1,937868;0,187919
9600;16;2,062561;0,199126
9895;17;2,281757;0,204864
10182;18;2,322954;0,224999


2500;1;0,146540;0,019230
3535;2;0,294699;0,029236
4330;3;0,415647;0,034149
5000;4;0,544219;0,036115
5590;5;0,673296;0,039886
6123;6;0,862803;0,066860
6614;7;0,976389;0,089845
7071;8;1,170970;0,109399
7500;9;1,254975;0,114861
7905;10;1,444915;0,120174
8291;11;1,601307;0,142804
8660;12;1,681344;0,163335
9013;13;1,892311;0,169688
9354;14;1,950211;0,178763
9682;15;2,095832;0,199558
10000;16;2,236615;0,215478
10307;17;2,479002;0,224992
10606;18;2,525175;0,248783


